Month,Bankrupcies,Proposals,Total
2011-January,284,76,360
February,287,81,368
March,399,139,538
April,318,83,401
May,315,112,427
June,324,105,429
July,219,74,293
August,297,69,366
September,300,105,405
October,301,100,401
November,308,104,412
December,291,84,375
2012-January,275,95,370
February,304,99,403
March,304,115,419
April,276,87,363
May,284,119,403
June,263,79,342
July,247,69,316
August,244,88,332
September,263,98,361
October,241,102,343
November,280,100,380
December,255,66,321
2013-January,240,79,319
February,278,118,396
March,288,82,370
April,300,100,400
May,287,103,390
June,230,103,333
July,247,72,319
August,256,78,334
September,254,79,333
October,282,95,377
November,245,97,342
December,280,88,368
2014-January,247,76,323
February,247,109,356
March,281,100,381
April,297,97,394
May,274,97,371
June,234,85,319
July,245,74,319
August,227,82,309
September,250,65,315
October,310,94,404
November,263,92,355
December,241,132,373
2015-January,229,91,320
February,257,106,363
March,309,96,405
April,283,102,385
May,235,75,310
June,268,89,357
July,241,72,313
August,200,60,260
September,272,91,363
October,240,89,329
November,283,75,358
December,272,72,344
2016-January,217,62,279
February,273,102,375
March,293,83,376
April,247,108,355
May,248,90,338
June,261,73,334
July,197,62,259
August,221,74,295
September,224,70,294
October,231,76,307
November,229,105,334
December,243,60,303
2017-January,177,53,230
February,229,101,330
March,276,93,369
April,239,66,305
May,284,70,354
June,226,68,294
July,197,56,253
August,208,83,291
September,180,66,246
October,250,76,326
November,222,91,313
December,212,86,298
2018-January,191,74,265
February,255,80,335
March,254,76,330
April,239,60,299
May,221,94,315
June,196,68,264
July,190,68,258
August,209,70,279
September,210,79,289
October,240,79,319
November,237,104,341
December,235,51,286
2019-January,227,65,292
February,245,73,318
March,281,81,362
April,278,85,363
May,236,80,316
June,212,83,295
July,250,86,336
August,177,62,239
September,190,62,252
October,218,94,312
November,218,84,302
December,214,79,293
2020-January,222,86,308
February,233,91,324
March,175,76,251
April,108,56,164
May,152,41,193
June,191,59,250