Month,Proposals,Bankrupcies,Total
2011-January,3342,5864,9206
February,3778,6487,10265
March,4458,7675,12133
April,3835,7087,10922
May,3782,6797,10579
June,3780,6812,10592
July,3186,5629,8815
August,3706,6472,10178
September,3797,6510,10307
October,3709,6259,9968
November,4234,6629,10863
December,3399,5772,9171
2012-January,3524,5420,8944
February,4185,6264,10449
March,4469,6551,11020
April,3976,6398,10374
May,4285,6709,10994
June,3927,5980,9907
July,3624,5625,9249
August,3853,5893,9746
September,3517,5538,9055
October,4299,6455,10754
November,4169,6063,10232
December,3075,4599,7674
2013-January,3882,5465,9347
February,3905,5374,9279
March,4365,5796,10161
April,4523,6634,11157
May,4611,6576,11187
June,3926,5602,9528
July,3955,5802,9757
August,3982,5654,9636
September,4145,5651,9796
October,4561,6350,10911
November,4211,5618,9829
December,3388,4702,8090
2014-January,3974,4851,8825
February,4368,5206,9574
March,4791,5580,10371
April,4690,6049,10739
May,4641,6137,10778
June,4291,5210,9501
July,4478,5433,9911
August,4169,4945,9114
September,4546,5517,10063
October,4961,5840,10801
November,4292,5091,9383
December,4010,4980,8990
2015-January,4285,4478,8763
February,4776,4938,9714
March,5650,5731,11381
April,5044,5976,11020
May,4782,5513,10295
June,4874,5589,10463
July,5038,5300,10338
August,4350,4871,9221
September,4847,5415,10262
October,5158,5435,10593
November,4935,5124,10059
December,4464,5036,9500
2016-January,4489,4305,8794
February,5408,5249,10657
March,5824,5801,11625
April,5483,6077,11560
May,5504,5933,11437
June,5641,5625,11266
July,4746,4757,9503
August,5112,5072,10184
September,5361,5368,10729
October,5125,5273,10398
November,5450,5470,10920
December,4363,4442,8805
2017-January,4832,4211,9043
February,5388,4473,9861
March,6148,5632,11780
April,5011,5078,10089
May,5696,5615,11311
June,5486,5068,10554
July,4941,4331,9272
August,5404,4737,10141
September,5260,4862,10122
October,5665,4994,10659
November,5949,4826,10775
December,4449,4142,8591
2018-January,5327,3981,9308
February,5426,4348,9774
March,6481,4834,11315
April,5929,4853,10782
May,6138,5262,11400
June,5795,4679,10474
July,5392,4437,9829
August,5844,4635,10479
September,5528,4477,10005
October,6558,5083,11641
November,6670,4650,11320
December,5087,3852,8939
2019-January,5941,4032,9973
February,6204,4099,10303
March,7318,4645,11963
April,6922,4863,11785
May,7212,5163,12375
June,6594,4322,10916
July,6937,4552,11489
August,6792,4492,11284
September,7222,4713,11935
October,8073,5127,13200
November,7337,4484,11821
December,6217,3917,10134
2020-January,7189,3840,11029
February,7384,3867,11251
March,7206,3741,10947
April,4519,2181,6700
May,4064,2047,6111
June,4164,2185,6349