Date,Recovered,Deaths,Current
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,1
2020-01-27,0,0,1
2020-01-28,0,0,2
2020-01-29,0,0,2
2020-01-30,0,0,2
2020-01-31,0,0,4
2020-02-01,0,0,4
2020-02-02,0,0,4
2020-02-03,0,0,4
2020-02-04,0,0,4
2020-02-05,0,0,5
2020-02-06,0,0,5
2020-02-07,0,0,7
2020-02-08,0,0,7
2020-02-09,0,0,7
2020-02-10,0,0,7
2020-02-11,0,0,7
2020-02-12,1,0,6
2020-02-13,1,0,6
2020-02-14,1,0,6
2020-02-15,1,0,6
2020-02-16,1,0,6
2020-02-17,1,0,7
2020-02-18,1,0,7
2020-02-19,1,0,7
2020-02-20,1,0,7
2020-02-21,3,0,6
2020-02-22,3,0,6
2020-02-23,3,0,6
2020-02-24,3,0,7
2020-02-25,3,0,8
2020-02-26,3,0,8
2020-02-27,6,0,7
2020-02-28,6,0,8
2020-02-29,6,0,14
2020-03-01,6,0,18
2020-03-02,6,0,21
2020-03-03,6,0,24
2020-03-04,6,0,27
2020-03-05,6,0,31
2020-03-06,6,0,43
2020-03-07,8,0,46
2020-03-08,8,0,56
2020-03-09,8,1,68
2020-03-10,8,1,70
2020-03-11,8,1,99
2020-03-12,8,1,108
2020-03-13,8,1,184
2020-03-14,8,1,189
2020-03-15,8,1,243
2020-03-16,9,4,402
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,